metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.5543478260869565,92,0.45263522635441744,0.6517035993747023
P(first > T),above_good,0.5463917525773195,97,0.4474391434787438,0.6418097379352756
P(first > T),below_good,0.5161290322580645,93,0.4159537133977668,0.6150247090983505
P(first>T|above_good) - P(first>T|below_good),diff,0.030262720319255032,190,-0.10730517680966634,0.16920518789491162
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,-0.007956073509637007,189,-0.15510141192290455,0.1288939937247869
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,0.03821879382889204,185,-0.10238721365123891,0.1894576905095839
P(first on favoured side),pooled,0.5157894736842106,190,0.44512232234094695,0.585830785763815
