metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.5294117647058824,68,0.41240715813747064,0.6432708891220559
P(first > T),above_good,0.632183908045977,87,0.5272733007011118,0.7259146660454009
P(first > T),below_good,0.38461538461538464,91,0.2912639484221166,0.4873142282429756
P(first>T|above_good) - P(first>T|below_good),diff,0.24756852343059238,178,0.09965896172792726,0.3824933687002652
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,0.10277214334009466,155,-0.06089841108857344,0.2517368154158212
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,0.14479638009049772,159,-0.01277068519715585,0.2954104718810601
P(first on favoured side),pooled,0.6235955056179775,178,0.5505172707444252,0.6914515636697021
