metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.3611111111111111,72,0.25981514475687584,0.4764773385240676
P(first > T),above_good,0.59375,96,0.49373701577265144,0.6865485565739455
P(first > T),below_good,0.32978723404255317,94,0.24307351447114595,0.42986723874629934
P(first>T|above_good) - P(first>T|below_good),diff,0.26396276595744683,190,0.1174534574468085,0.39161679964538887
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,0.2326388888888889,168,0.09027777777777779,0.3715277777777778
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,0.03132387706855794,166,-0.11258865248226946,0.1784869976359338
P(first on favoured side),pooled,0.631578947368421,190,0.5610135975573641,0.6969289699823177
