metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.5625,80,0.45340937868656955,0.6658631542803586
P(first > T),above_good,0.7978723404255319,94,0.7057474647924858,0.8666062170769848
P(first > T),below_good,0.3548387096774194,93,0.26512726316736557,0.4560669343675781
P(first>T|above_good) - P(first>T|below_good),diff,0.44303363074811253,187,0.3143416838252116,0.571150766415008
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,0.2353723404255319,174,0.09892287234042549,0.3710106382978723
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,0.20766129032258063,173,0.059133064516129034,0.3541666666666667
P(first on favoured side),pooled,0.7219251336898396,187,0.6537318894756405,0.7811837683264319
