metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.2976190476190476,84,0.2104467918626258,0.40249286315276545
P(first > T),above_good,0.46153846153846156,91,0.3627526243994019,0.5634401011556289
P(first > T),below_good,0.23076923076923078,91,0.15618045094358188,0.32716862794163315
P(first>T|above_good) - P(first>T|below_good),diff,0.23076923076923078,182,0.08791208791208793,0.3626373626373627
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,0.16391941391941395,175,0.027472527472527486,0.31043956043956045
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,0.06684981684981683,175,-0.07051282051282051,0.20331959706959696
P(first on favoured side),pooled,0.6153846153846154,182,0.5430114563069403,0.6829874588982668
