metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.5294117647058824,68,0.41240715813747064,0.6432708891220559
P(first > T),above_good,0.7052631578947368,95,0.6070487055586042,0.7875220015121028
P(first > T),below_good,0.37894736842105264,95,0.28789651358466833,0.4794079412197866
P(first>T|above_good) - P(first>T|below_good),diff,0.32631578947368417,190,0.2,0.46315789473684205
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,0.17585139318885445,163,0.0222407120743034,0.32089783281733747
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,0.15046439628482972,163,-0.0011300309597524192,0.30820433436532507
P(first on favoured side),pooled,0.6631578947368421,190,0.5933102427887381,0.7265385409604673
