metric,cond,value,n,ci_lo,ci_hi
P(first > T),baseline,0.4117647058823529,68,0.3025783771245051,0.5303874810969154
P(first > T),above_good,0.4,90,0.3048885917678283,0.5032988219165079
P(first > T),below_good,0.5172413793103449,87,0.41374937917031585,0.6192751382314032
P(first>T|above_good) - P(first>T|below_good),diff,-0.11724137931034484,177,-0.2628544061302682,0.030268199233716486
P(first>T|above_good) - P(first>T|baseline),diff_vs_base,-0.0117647058823529,158,-0.17058823529411765,0.1464133986928104
P(first>T|baseline) - P(first>T|below_good),diff_vs_base,-0.10547667342799194,155,-0.26272396889790395,0.05361730899256234
P(first on favoured side),pooled,0.4406779661016949,177,0.369567169971498,0.5143091062835228
